NAME OF COMPANY, ISIN NUMBER
Emerald Finance Limited,INE030Q01015
EMERGENT INDUSTRIAL SOLUTIONS,INE668L01013
EMKAY GLOBAL FINANCIAL SERVICE,INE296H01011
Emmbi Industries Limited,INE753K01015
EMMESSAR BIOTECH & NUTRITION L,INE634B01016
EMMFORCE AUTOTECH LIMITED,INE0SDC01012
Emmvee Photovoltaic Power Limi,INE1C6T01020
EMPIRE INDUSTRIES LTD.,INE515H01014
EMPOWER INDIA LTD.,INE507F01023
EMROCK CORPORATION LIMITED,INE554H01021
EMS Limited,INE0OV601013
eMudhra Limited,INE01QM01018
Enbee Trade &amp; Finance Ltd,INE993I01029
ENCODE PACKAGING INDIA LIMITED,INE900O01014
Endurance Technologies Limited,INE913H01037
Energy Development Company Limited,INE306C01019
Energy Infrastructure Trust,INE05KD23015
Engineers India Limited,INE510A01028
ENKEI WHEELS (INDIA) LTD.,INE130L01014
Entero Healthcare Solutions Li,INE010601016
ENTERPRISE INTERNATIONAL LTD.,INE439G01019
ENTERTAINMENT NETWORK (INDIA),INE265F01028
ENVAIR ELECTRODYNE LTD.,INE601C01013
Enviro Infra Engineers Limited,INE0LLY01014
EPACK Durable Limited,INE0G5901015
Epack Prefab Technologies Limi,INE0MLS01022
EPIC ENERGY LTD.,INE932F01015
Epigral Limited,INE071N01016
EPL Limited,INE255A01020
EPSOM PROPERTIES LTD.,INE601F01016
EPUJA SPIRITECH LIMITED,INE807D01030
EQUIPPP SOCIAL IMPACT TECHNOLO,INE217G01035
Equitas Small Finance Bank Lim,INE063P01018
ERAAYA LIFESPACES LIMITED,INE432F01032
Eris Lifesciences Limited,INE406M01024
ERP SOFT SYSTEMS LTD.,INE308B01017
ESAAR (INDIA) LTD.,INE404L01039
Esab India Limited,INE284A01012
ESAF Small Finance Bank Limited,INE818W01011
Escorp Asset Management Limite,INE953W01016
Escorts Kubota Limited,INE042A01014
ESFL-9.60%-29-1-27-NCD,INE532F07EW6
ESHA MEDIA RESEARCH LIMITED,INE328F01016
ESPIRE HOSPITALITY LIMITED,INE176O01011
ESPL-10.90%-4-2-26-PVT,INE01YL07334
ESPL-11%-5-10-26-PVT,INE01YL07326
Essar Shipping Limited,INE122M01019
ESSEX MARINE LIMITED,INE1IBY01019
Ester Industries Limited,INE778B01029
ETERNAL LIMITED,INE758T01015
Ethos Limited,INE04TZ01018
Euphoria Infotech (India) Limi,INE0PYT01018
Eureka Forbes Limited,INE0KCE01017
EUREKA INDUSTRIES LTD.,INE958A01011
Euro India Fresh Foods Limited,INE546V01010
EURO LEDER FASHION LTD.,INE940E01011
Euro Panel Products Limited,INE505V01016
Euro Pratik Sales Limited,INE198501012
Eurotex Industries and Exports Limited,INE022C01012
Eveready Industries India Limited,INE128A01029
Everest Industries Limited,INE295A01018
Everest Kanto Cylinder Limited,INE184H01027
EVEREST ORGANICS LTD.,INE334C01029
EVERLON FINANCIALS LIMITED,INE339D01034
EVEXIA LIFECARE LIMITED,INE313M01030
Evoq Remedies Limited,INE0JVD01011
EXATO TECHNOLOGIES LIMITED,INE1E4401010
Excel Industries Limited,INE369A01029
Excel Realty N Infra Limited,INE688J01023
Excelsoft Technologies Limited,INE606N01019
Exhicon Events Media Solutions,INE0O8901016
Exicom Tele-Systems Limited,INE777F01014
Exide Industries Limited,INE302A01020
Expleo Solutions Limited,INE201K01015
EXPLICIT FINANCE LTD.,INE335G01019
EXPO ENGINEERING AND PROJECTS,INE561D01025
Exxaro Tiles Limited,INE0GFE01026
F MEC INTERNATIONAL FINANCIAL,INE108T01013
FABTECH TECHNOLOGIES CLEANROOM,INE0HSD01011
Fabtech Technologies Limited,INE0HF201011
FACOR ALLOYS LTD.,INE828G01013
Fairchem Organics Limited,INE0DNW01011
FAMILY CARE HOSPITALS LIMITED,INE146N01016
Faze Three Limited,INE963C01033
FCS Software Solutions Limited,INE512B01022
FDC Limited,INE258B01022
Fedbank Financial Services Lim,INE007N01010
FEDDERS HOLDING LIMITED,INE417D01020
FEDERAL BANK LTD.,INE171A01029
FEDERAL-MOGUL GOETZE (INDIA) L,INE529A01010
FERMENTA BIOTECH LIMITED,INE225B01021
FERTILIZERS & CHEMICALS TRAVAN,INE188A01015
FERVENT SYNERGIES LTD.,INE258M01011
FFSL-9%-26-4-30-PVT,INE007N08023
FGP LTD.,INE512A01016
Fiberweb (India) Limited,INE296C01020
Fiem Industries Limited,INE737H01014
Filatex Fashions Limited,INE185E01021
Filatex India Limited,INE816B01035
FILMCITY MEDIA LTD.,INE600B01033
Fine Organic Industries Limite,INE686Y01026
FINE-LINE CIRCUITS LTD.,INE087E01011
Finelistings Technologies Limi,INE0QOQ01013
Fineotex Chemical Limited,INE045J01034
Finkurve Financial Services Limited,INE734I01027
Fino Payments Bank Limited,INE02NC01014
Finolex Cables Limited,INE235A01022
Finolex Industries Limited,INE183A01024
FIRST CUSTODIAN FUND (INDIA) L,INE609B01018
Firstsource Solutions Limited,INE684F01012
FISCHER MEDICAL VENTURES LIMIT,INE771F01041
Five-Star Business Finance Limited,INE128S01021
Flair Writing Industries Limit,INE00Y201027
FLEX FOODS LTD.,INE954B01018
FLEXITUFF VENTURES INTERNATION,INE060J01017
FLOMIC GLOBAL LOGISTICS LIMITE,INE952M01019
FLUIDOMAT LTD.,INE459C01016
Focus Lighting and Fixtures Limited,INE593W01028
Foods & Inns Limited,INE976E01023
FORBES & COMPANY LTD.,INE518A01013
Forbes Precision Tools and Mac,INE0TT901016
FORCE MOTORS LTD,INE451A01017
Fortis Healthcare Limited,INE061F01013
FORTIS MALAR HOSPITALS LIMITED,INE842B01015
FORTUNE INTERNATIONAL LTD.,INE501D01013
Foseco India Limited,INE519A01011
FOUNDRY FUEL PRODUCTS LTD.,INE617C01027
Franklin Industries Limited,INE789R01022
Fraser And Company Limited,INE184Q01010
Fratelli Vineyards Limited,INE401Z01019
Fredun Pharmaceuticals Limited,INE194R01017
FRONTIER CAPITAL LIMITED,INE977E01013
FRONTIER SPRINGS LTD.,INE572D01014
FRONTLINE CORPORATION LTD.,INE092D01013
FRUITION VENTURE LTD,INE836C01015
FSN E-Commerce Ventures Limite,INE388Y01029
Fujiyama Power Systems Limited,INE12UR01024
FUNDVISER CAPITAL (INDIA) LIMI,INE365H01014
Fusion Finance Limited,INE139R01012
Future Enterprises Limited,INE623B01027
Future Enterprises Limited,IN9623B01058
Future Lifestyle Fashions Limited,INE452O01016
Future Market Networks Limited,INE360L01017
FUTURISTIC SOLUTIONS LTD.,INE241F01011
FYNX CAPITAL LIMITED,INE455H01013
G G Engineering Limited,INE694X01030
G M Polyplast Limited,INE0E2801015
G N A Axles Limited,INE934S01014
G R Infraprojects Limited,INE201P01022
G. G. Dandekar Properties Limi,INE631D01026
G. K. P. Printing & Packaging,INE05QJ01015
G.G.AUTOMOTIVE GEARS LTD.,INE493B01017
G.K.CONSULTANTS LTD.,INE131D01019
G.M.BREWERIES LTD.,INE075D01018
G.S.AUTO INTERNATIONAL LTD.,INE736H01024
Gabion Technologies India Limi,INE1H1501013
Gabriel India Limited,INE524A01029
Gabriel Pet Straps Limited,INE0QZF01012
GACM Technologies Limited,INE224E01028
GACM Technologies Limited,INE224E01036
GAGAN GASES LTD.,INE076D01016
GAIL (India) Limited,INE129A01019
GAJANAN SECURITIES SERVICES LT,INE868G01019
Gala Global Products Limited,INE480S01026
Gala Precision Engineering Lim,INE0RE001014
Galactico Corporate Services L,INE906Y01028
GALADA POWER & TELECOMMUNICATI,INE255C01026
GALAXY AGRICO EXPORTS LTD.,INE803L01016
Galaxy Agrico Exports Ltd.,INE803L20016
GALAXY BEARINGS LTD.,INE020S01012
GALAXY CLOUD KITCHENS LIMITED,INE403B01016
Galaxy Surfactants Limited,INE600K01018
Gallantt Ispat Limited,INE297H01019
Gallard Steel Limited,INE0BUQ01012
GALLOPS ENTERPRISE LTD.,INE755J01012
GAMCO LIMITED,INE890S01026
GAME CHANGERS TEXFAB LIMITED,INE1GUJ01014
Gandhar Oil Refinery (India) L,INE717W01049
Gandhi Special Tubes Limited,INE524B01027
Ganesh Benzoplast Limited,INE388A01029
Ganesh Consumer Products Limit,INE652V01016
GANESH HOUSING LIMITED,INE460C01014
Ganesha Ecosphere Limited,INE845D01014
GANESHA ECOVERSE LIMITED,INE369Q01017
Ganga Forging Limited,INE691Z01023
GANGA PAPERS INDIA LTD.,INE278O01015
Ganges Securities Limited,INE335W01016
Ganon Products Limited,INE162L01017
Garbi Finvest Limited,INE721C01019
Garden Reach Shipbuilders & En,INE382Z01011
GARG FURNACE LTD.,INE194E01015
GARMENT MANTRA LIFESTYLE LIMIT,INE653S01028
GARNET CONSTRUCTION LTD.,INE797D01017
GARNET INTERNATIONAL LTD.,INE590B01010
Garuda Construction and Engine,INE0JVO01026
Garware Hi-Tech Films Limited,INE291A01017
GARWARE MARINE INDUSTRIES LTD.,INE925D01014
GARWARE SYNTHETICS LTD.,INE340D01016
GARWARE TECHNICAL FIBRES LIMIT,INE276A01018
Gateway Distriparks Limited,INE079J01017
Gautam Gems Limited,INE063Z01017
GAYATRI BIOORGANICS LTD.,INE052E01015
Gayatri Highways Limited,INE287Z01012
GAYATRI SUGARS LTD.,INE622E01023
GB Logistics Commerce Limited,INE0RWU01016
GCM SECURITIES LTD,INE168O01026
GDL LEASING & FINANCE LTD.,INE545E01018
GE Power India Limited,INE878A01011
GE Vernova T&D India Limited,INE200A01026
GEE LTD.,INE064H01021
GeeCee Ventures Limited,INE916G01016
Geekay Wires Limited,INE669X01032
Gem Aromatics Limited,INE06XZ01023
GEM Enviro Management Limited,INE0RUJ01013
GEM SPINNERS INDIA LTD.,INE165F01020
GEMSTONE INVESTMENTS LTD.,INE503D01027
General Insurance Corporation,INE481Y01014
Generic Engineering Constructi,INE854S01022
GENESIS IBRC INDIA LIMITED,INE194N01016
GENESYS INTERNATIONAL CORPORAT,INE727B01026
GENNEX LABORATORIES LTD.,INE509C01026
GENOMIC VALLEY BIOTECH LIMITED,INE574D01010
GENPHARMASEC LIMITED,INE861N01036
Gensol Engineering Limited,INE06H201014
Genus Paper & Boards Limited,INE949P01018
Genus Power Infrastructures Limited,INE955D01029
GENUS PRIME INFRA LIMITED,INE256D01014
Geojit Financial Services Limi,INE007B01023
GFL Limited,INE538A01037
GHCL Limited,INE539A01019
GHCL Textiles Limited,INE0PA801013
GHV INFRA PROJECTS LIMITED,INE809Q01020
Gian Life Care Limited,INE063601012
GIC Housing Finance Limited,INE289B01019
Gilada Finance & Investments L,INE918C01029
GILLANDERS ARBUTHNOT & CO.LTD.,INE047B01011
Gillette India Limited,INE322A01010
GINI SILK MILLS LTD.,INE548B01018
Ginni Filaments Limited,INE424C01010
GITA RENEWABLE ENERGY LIMITED,INE776O01018
GK Energy Limited,INE1AG301022
GKW Limited,INE528A01020
GLANCE FINANCE LTD.,INE580D01017
Gland Pharma Limited,INE068V01023
GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016
Glen Industries Limited,INE0UMC01019
Glenmark Pharmaceuticals Limited,INE935A01035
GLITTEK GRANITES LTD.,INE741B01027
GLOBAL CAPITAL MARKETS LTD.,INE062C01042
Global Education Limited,INE291W01037
Global Health Limited,INE474Q01031
Global Longlife Hospital and R,INE0J2K01014
Global Ocean Logistics India L,INE1ITY01011
GLOBAL OFFSHORE SERVICES LTD.,INE446C01013
Global Surfaces Limited,INE0JSX01015
Global Vectra Helicorp Limited,INE792H01019
Globale Tessile Limited,INE0URU01010
GlobalSpace Technologies Limit,INE632W01016
Globe Civil Projects Limited,INE0V3U01015
Globe Commercials Limited,INE804Q01013
GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021
Globtier Infotech limited,INE12P601017
GLOBUS CONSTRUCTORS & DEVELOPE,INE064L01015
Globus Spirits Limited,INE615I01010
Gloster Limited,INE350Z01018
Glottis Limited,INE0TQE01026
GMM Pfaudler Limited,INE541A01023
GMR AIRPORTS LIMITED,INE776C01039
GMR Power and Urban Infra Limi,INE0CU601026
GNG Electronics Limited,INE18JU01028
Go Digit General Insurance Lim,INE03JT01014
Go Fashion (India) Limited,INE0BJS01011
Goa Carbon Limited,INE426D01013
GOBLIN INDIA LIMITED,INE492Z01018
GOCL Corporation Limited,INE077F01035
Godavari Biorefineries Limited,INE497S01012
GODAVARI DRUGS LTD.,INE362C01012
GODAWARI POWER & ISPAT LTD.,INE177H01039
Godfrey Phillips India Limited,INE260B01028
Godrej Agrovet Limited,INE850D01014
Godrej Consumer Products Limited,INE102D01028
Godrej Industries Limited,INE233A01035
Godrej Properties Limited,INE484J01027
GOEL CONSTRUCTION COMPANY LIMI,INE0ZOM01013
Goel Food Products Limited,INE0K6L01010
Goenka Business & Finance Limi,INE997C01015
GOKAK TEXTILES LTD.,INE642I01014
Gokaldas Exports Limited,INE887G01027
Gokul Agro Resources Limited,INE314T01033
GOKUL REFOILS & SOLVENT LTD.,INE020J01029
GOLDEN CARPETS LTD.,INE595D01015
Golden Crest Education & Servi,INE222U01010
GOLDEN LEGAND LEASING & FINANC,INE088E01019
Golden Tobacco Limited,INE973A01010
Goldiam International Limited,INE025B01025
GOLECHHA GLOBAL FINANCE LTD.,INE427D01011
Golkonda Aluminium Extrusions,INE327C01031
GOLKUNDA DIAMONDS & JEWELLERY,INE798D01015
Goodluck India Limited,INE127I01024
GOODRICKE GROUP LTD.,INE300A01016
GOODYEAR INDIA LTD.,INE533A01012
GOPAL IRON & STEELS CO.(GUJARA,INE641H01018
Gopal Snacks Limited,INE0L9R01028
GORANI INDUSTRIES LTD.,INE792J01015
GOTHI PLASCON (INDIA) LTD.,INE538G01018
GOURMET GATEWAY INDIA LIMITED,INE512D01028
GOWRA LEASING & FINANCE LTD.,INE225G01012
Goyal Aluminiums Limited,INE705X01026
GOYAL ASSOCIATES LTD.,INE912B01032
GP Petroleums Limited,INE586G01017
GPT Healthcare Limited,INE486R01017
GPT Infraprojects Limited,INE390G01014
GRAMEVA LIMITED,INE578R01011
GRAND OAK CANYONS DISTILLERY L,INE926B01016
GRANDMA TRADING & AGENCIES LTD,INE927M01029
Granules India Limited,INE101D01020
Graphite India Limited,INE371A01025
Grasim Industries Limited,INE047A01021
GRAUER & WEIL (INDIA) LTD.,INE266D01021
GRAVISS HOSPITALITY LTD.,INE214F01026
Gravita India Limited,INE024L01027
GRAVITY (INDIA) LTD.,INE995A01013
GRE Renew Enertech Limited,INE0U8P01015
GREAT EASTERN SHIPPING CO.LTD.,INE017A01032
Greaves Cotton Limited,INE224A01026
GREENCREST FINANCIAL SERVICES,INE414C01045
Greenhitech Ventures Limited,INE0S0701019
Greenlam Industries Limited,INE544R01021
Greenpanel Industries Limited,INE08ZM01014
Greenply Industries Limited,INE461C01038
Gretex Corporate Services Limi,INE199P01028
Grindwell Norton Limited,INE536A01023
GRM Overseas Limited,INE192H01020
GROARC INDUSTRIES INDIA LIMITE,INE042B01012
Grovy India Limited,INE343C01012
GROWINGTON VENTURES INDIA LIMI,INE451S01027
Groww Mutual Fund,INF666M01LM6
GRP Limited,INE137I01015
GS19SEP2058,IN000958C024
GS22SEP33,IN0020200120
GSB FINANCE LTD.,INE777C01011
GSS Infotech Limited,INE871H01011
G-TEC JAINX EDUCATION LIMITED,INE586X01012
GTL Infrastructure Limited,INE221H01019
GTL Limited,INE043A01012
GTN INDUSTRIES LTD.,INE537A01013
GTN TEXTILES LTD.,INE302H01017
GTPL Hathway Limited,INE869I01013
GTT DATA SOLUTIONS LIMITED,INE959B01017
GTV Engineering Limited,INE910R01024
Gufic Biosciences Limited,INE742B01025
GUJARAT ALKALIES & CHEMICALS L,INE186A01019
Gujarat Ambuja Exports Limited,INE036B01030
Gujarat Apollo Industries Limited,INE826C01016
GUJARAT COTEX LTD.,INE004C01028
GUJARAT CRAFT INDUSTRIES LTD.,INE372D01019
GUJARAT CREDIT CORPORATION LTD,INE034B01019
Gujarat Fluorochemicals Limite,INE09N301011
Gujarat Gas Limited,INE844O01030
GUJARAT HOTELS LTD.,INE621C01011
GUJARAT INDUSTRIES POWER CO.LT,INE162A01010
GUJARAT INJECT (KERALA) LTD.,INE659F01014
GUJARAT INTRUX LTD.,INE877E01015
GUJARAT INVESTA LTD.,INE373D01017
GUJARAT KIDNEY AND SUPER SPECI,INE0V0W01025
GUJARAT LEASE FINANCING LTD.,INE540A01017
GUJARAT MINERAL DEVELOPMENT CO,INE131A01031
GUJARAT NARMADA VALLEY FERTILI,INE113A01013
GUJARAT NATURAL RESOURCES LIMI,INE207H01018
GUJARAT PEANUT AND AGRI PRODUC,INE0SIK01014
GUJARAT PETROSYNTHESE LTD.,INE636P01011
Gujarat Pipavav Port Limited,INE517F01014
Gujarat Poly Electronics Limit,INE541F01022
Gujarat Raffia Industries Limited,INE610B01024
GUJARAT STATE FERTILIZERS & CH,INE026A01025
GUJARAT STATE FINANCIAL CORPOR,INE944A01011
Gujarat State Petronet Limited,INE246F01010
GUJARAT TERCE LABORATORIES LTD,INE499G01013
Gujarat Themis Biosyn Limited,INE942C01045
GUJARAT TOOLROOM LTD.,INE145J01032
Gujarat Winding Systems Limite,INE173V01013
Gulf Oil Lubricants India Limited,INE635Q01029
Gulshan Polyols Limited,INE255D01024
GV FILMS LTD.,INE395B01048
GVK Power & Infrastructure Limited,INE251H01024
GVP Infotech Limited,INE382T01030
GYAN DEVELOPERS & BUILDERS LTD,INE487G01018
H.G. Infra Engineering Limited,INE926X01010
H.M. ELECTRO MECH LIMITED,INE0DZD01015
H.P.COTTON TEXTILE MILLS LTD.,INE950C01014
H.S.INDIA LTD.,INE731B01010
Halder Venture Limited,INE115S01010
HALDYN GLASS LTD,INE506D01020
HALEOS LABS LIMITED,INE320X01016
HAMPTON SKY REALTY LIMITED,INE299D01022
HANDSON GLOBAL MANAGEMENT (HGM,INE596H01014
Hannah Joseph Hospital Limited,INE0JVH01012
Happiest Minds Technologies Li,INE419U01012
Happy Forgings Limited,INE330T01021
HARDCASTLE & WAUD MFG.CO.LTD.,INE722D01015
Hardwyn India Limited,INE626Z01029
HARIA APPARELS LTD,INE493N01012
HARIA EXPORTS LTD.,INE772B01014
Hariom Pipe Industries Limited,INE00EV01017
Harish Textile Engineers Limit,INE01K301012
HARIYANA SHIP BREAKERS LTD.,INE400G01011
Harrisons  Malayalam Limited,INE544A01019
Harsha Engineers International,INE0JUS01029
HARSHDEEP HORTICO LIMITED,INE0OLZ01015
HARSHIL AGROTECH LIMITED,INE098E01026
HARYANA CAPFIN LTD.,INE928H01019
HARYANA LEATHER CHEMICALS LTD.,INE681F01018
HASTI FINANCE LTD.,INE671D01014
HATHWAY BHAWANI CABLETEL & DAT,INE525B01016
Hathway Cable & Datacom Limited,INE982F01036
Hatsun Agro Product Limited,INE473B01035
Havells India Limited,INE176B01034
Hawa Engineers ltd.,INE230I01018
HAWKINS COOKERS LTD.,INE979B01015
HAZOOR MULTI PROJECTS LTD.,INE550F01049
HB ESTATE DEVELOPERS LTD.,INE640B01021
HB LEASING & FINANCE CO.LTD.,INE549B01016
HB PORTFOLIO LTD.,INE638B01025
HB Stockholdings Limited,INE550B01022
HBL Engineering Limited,INE292B01021
HCL Infosystems Limited,INE236A01020
HCL Technologies Limited,INE860A01027
HCP PLASTENE BULKPACK LIMITED,INE136C01044
HDB Financial Services Limited,INE756I01012
HDFC Asset Management Company,INE127D01025
HDFC Bank Limited,INE040A01034
HDFC LIFE INSURANCE COMPANY LI,INE795G01014
HDFC Mutual Fund,INF179KC1965
HDFC Mutual Fund,INF179KC1HX2
HDFC Mutual Fund,INF179KC1HY0
HDFC Mutual Fund,INF179KC1HR4
HDFC Mutual Fund,INF179KC1HS2
HDFC Mutual Fund,INF179KC1DI2
HDFC Mutual Fund,INF179KC1DL6
HDFC Mutual Fund,INF179KC1DJ0
HDFC Mutual Fund,INF179KC1DK8
HDFC Mutual Fund,INF179KC1HU8
HDFC Mutual Fund,INF179KC1HV6
HDFC Mutual Fund,INF179KC1IA8
HDFC Mutual Fund,INF179KC1HZ7
HDFC Mutual Fund,INF179KC1EZ4
HDFC Mutual Fund,INF179KC1FB2
HDFC Mutual Fund,INF179KC1HT0
HDFC Mutual Fund,INF179KC1HW4
HDFC MUTUAL FUND - HDFC GOLD E,INF179KC1981
Heads UP Ventures Limited,INE759V01019
HealthCare Global Enterprises,INE075I01017
HEALTHY LIFE AGRITEC LIMITED,INE0L3501015
HEC Infra Projects Limited,INE558R01013
HEERA ISPAT LTD.,INE025D01013
HEG Limited,INE545A01024
HeidelbergCement India Limited,INE578A01017
Helpage Finlease Ltd.,INE738P01015
HEMANG RESOURCES LIMITED,INE930A01010
Hemant Surgical Industries Lim,INE0GYI01028
Hemisphere Properties India Li,INE0AJG01018
HEMO ORGANIC LIMITED,INE422G01015
Heranba Industries Limited,INE694N01015
Hercules Investments Limited,INE688E01024
Heritage Foods Limited,INE978A01027
Hero MotoCorp Limited,INE158A01026
Hester Biosciences Limited,INE782E01017
Heubach Colorants India Limited,INE492A01029
Hexa Tradex Limited,INE750M01017
Hexaware Technologies Limited,INE093A01041
HFCL Limited,INE548A01028
HIGH ENERGY BATTERIES (INDIA),INE783E01023
Highway Infrastructure Limited,INE00RL01028
Hikal Limited,INE475B01022
Hi-Klass Trading and Investmen,INE302R01024
HILIKS TECHNOLOGIES LIMITED,INE966Q01010
Hilltone Software and Gases Lt,INE168C01013
Hilton Metal Forging Limited,INE788H01017
Hilton Metal Forging Ltd-RE,INE788H20025
HIM TEKNOFORGE LIMITED,INE705G01021
Himadri Speciality Chemical Limited,INE019C01026
HIMALAYA FOOD INTERNATIONAL LI,INE552B01010
Himatsingka Seide Limited,INE049A01027
HIND ALUMINIUM INDUSTRIES LTD.,INE227B01019
Hind Rectifiers Limited,INE835D01023
Hindalco Industries Limited,INE038A01020
Hindcon Chemicals Limited,INE642Y01029
HINDOOSTAN MILLS LTD.,INE832D01020
Hindprakash Industries Limited,INE05X901010
Hinduja Global Solutions Limited,INE170I01016
HINDUSTAN ADHESIVES LTD.,INE074C01013
Hindustan Aeronautics Limited,INE066F01020
HINDUSTAN AGRIGENETICS LTD.,INE092301014
HINDUSTAN APPLIANCES LTD.,INE02XD01011
HINDUSTAN BIO SCIENCES LTD.,INE597C01021
Hindustan Composites Limited,INE310C01029
HINDUSTAN CONSTRUCTION CO.LTD.,INE549A01026
Hindustan Copper Limited,INE531E01026
Hindustan Foods Limited,INE254N01026
HINDUSTAN HARDY LIMITED,INE724D01011
Hindustan Media Ventures Limited,INE871K01015
HINDUSTAN MOTORS LTD.,INE253A01025
HINDUSTAN OIL EXPLORATION CO.L,INE345A01011
HINDUSTAN ORGANIC CHEMICALS LT,INE048A01011
HINDUSTAN PETROLEUM CORPORATIO,INE094A01015
HINDUSTAN TIN WORKS LTD.,INE428D01019
Hindustan Unilever Limited,INE030A01027
Hindustan Zinc Limited,INE267A01025
HINDUSTHAN URBAN INFRASTRUCTUR,INE799B01017
Hindware Home Innovation Limit,INE05AN01011
HIPOLIN LTD.,INE963A01011
Hisar Metal Industries Limited,INE598C01011
HIT KIT GLOBAL SOLUTIONS LTD.,INE309B01023
Hitachi Energy India Limited,INE07Y701011
Hitech Corporation Limited,INE120D01012
Hi-Tech Pipes Limited,INE106T01025
HITTCO TOOLS LTD.,INE863C01019
HLE Glascoat Limited,INE461D01028
HLV LIMITED,INE102A01024
HMA Agro Industries Limited,INE0ECP01024
HMT Limited,INE262A01018
Home First Finance Company Ind,INE481N01025
Honasa Consumer Limited,INE0J5401028
HONDA INDIA POWER PRODUCTS LIM,INE634A01018
Honeywell Automation India Limited,INE671A01010
Housing & Urban Development Corporation Limited,INE031A01017
HOUSING DEVELOPMENT & INFRASTR,INE191I01012
HOWARD HOTELS LTD.,INE931B01016
HP Adhesives Limited,INE0GSL01024
HPL Electric & Power Limited,INE495S01016
HRS ALUGLAZE LIMITED,INE1E1V01017
HT Media Limited,INE501G01024
Hubtown Limited,INE703H01016
HUDCO-7.29%-15-3-26-TAXFREENCD,INE031A07AS6
HUDCO-7.64%-8-2-31-TAXFREENCD,INE031A07AO5
HUDCO-7.69%-15-3-31-TAXFREENCD,INE031A07AT4
HUDCO-8.96%-24-3-34-TFBOND,INE031A07AH9
HUDCO-8.98%-24-3-29-TFBOND,INE031A07AG1
Huhtamaki India Limited,INE275B01026
HYBRID FINANCIAL SERVICES LIMI,INE965B01022
HYPERSOFT TECHNOLOGIES LIMITED,INE039D01014
Hyundai Motor India Limited,INE0V6F01027
I G PETROCHEMICALS LTD.,INE204A01010
IB INFOTECH ENTERPRISES LTD.,INE678B01021
ICDS Limited,INE613B01010
Ice Make Refrigeration Limited,INE520Y01019
ICICI Bank Limited,INE090A01021
ICICI Lombard General Insuranc,INE765G01017
ICICI Prudential Asset Managem,INE346A01027
ICICI Prudential BSE 500 ETF,INF109KC1V59
ICICI Prudential BSE Liquid Ra,INF109KC1KT9
ICICI Prudential BSE Midcap Se,INF109KC10W0
ICICI Prudential BSE Sensex ET,INF346A01034
ICICI Prudential Gold ETF,INF109KC1NT3
ICICI Prudential Life Insuranc,INE726G01019
ICICI Prudential Mutual Fund,INF109KB15Y7
ICICI Prudential Mutual Fund,INF109KC1NS5
ICICI Prudential Mutual Fund,INF109KC15I8
ICICI Prudential Mutual Fund,INF109KC18U7
ICICI Prudential Mutual Fund,INF109KC11W8
ICICI Prudential Mutual Fund,INF109KC17V7
ICICI Prudential Mutual Fund,INF109KC16I6
ICICI Prudential Mutual Fund,INF109KC1Q72
ICICI Prudential Mutual Fund,INF109KC19V3
ICICI Prudential Mutual Fund,INF109KC1V42
ICICI Prudential Mutual Fund,INF109KC10V2
ICICI Prudential Mutual Fund,INF109KC1Y56
ICICI Prudential Mutual Fund,INF109KC17C7
ICICI Prudential Mutual Fund,INF109KC16E5
ICICI Prudential Mutual Fund,INF109KC17L8
ICICI Prudential Mutual Fund,INF109KC19O8
ICICI Prudential Mutual Fund,INF109KC10S8
ICICI Prudential Mutual Fund,INF109KC18V5
ICICI Prudential Mutual Fund,INF109KC18W3
ICICI Prudential Mutual Fund,INF109KC19W1
ICICI Prudential Mutual Fund,INF109KC16X5
ICICI Prudential Mutual Fund,INF109K1A153
ICICI Prudential Mutual Fund,INF109K1A344
ICICI Prudential Nifty 100 ETF,INF109KC16V9
ICICI Prudential Nifty ETF,INF109K012R6
ICICI Prudential Nifty Low Vol,INF109KC19U5
ICICI Prudential NV20 ETF,INF109KC11V0
ICLFL-02-01-27-NCD,INE01CYA7146
ICLFL-02-10-31-NCD,INE01CYA7138
ICLFL-02-12-28-NCD,INE01CYA7187
ICLFL-10.50%-02-01-27-NCD,INE01CYA7229
ICLFL-11.50%-02-12-28-NCD,INE01CYA7195
ICLFL-11.75%-02-12-28-NCD,INE01CYA7179
ICLFL-12%-02-12-30-NCD,INE01CYA7161
ICLFL-12.5%-14-12-28-NCD,INE01CY077E1
ICODEX PUBLISHING SOLUTIONS LI,INE111601014
Icon Facilitators Limited,INE0Y0E01012
ICONIK SPORTS AND EVENTS LIMIT,INE088P01015
ICRA Limited,INE725G01011
IDBI Bank Limited,INE008A01015
IDBI MUTUAL FUND - IDBI GOLD E,INF397L01554
Ideaforge Technology Limited,INE349Y01013
IDFC First Bank Limited,INE092T01019
IEC EDUCATION LTD.,INE172B01017
IEL LIMITED,INE056E01024
IFB Agro Industries Limited,INE076C01018
IFB Industries Limited,INE559A01017
IFCI Limited,INE039A01010
IFCI-8.72%V-31-3-27-D-PVT,INE039A09OX6
IFCI-D-10.75%-01-08-26-PVT,INE039A09NL3
IFCI-SR-I-10.75%-1-8-26-PVT,INE039A09NM1
IFGL Refractories Limited,INE133Y01011
IFL ENTERPRISES LIMITED,INE714U01024
IFL-10%-24-6-28-NCD,INE530B08094
